	School	lat	lng
0	Connecticut IB Academy	41.75284577900004,	-72.60449611
1	Pathways Academy of Technology and Design	41.74056938200005,	-72.63770463
2	Hartford Magnet Trinity College Academy	41.75125322700006,	-72.68669494
3	Global Experience Magnet School	41.86972863700004,	-72.7352271
4	Classical Magnet School	41.77334487200005,	-72.70027147
5	Museum Academy	41.851007192000054,	-72.66673712
6	Reggio Magnet School of the Arts	41.80167256800007,	-72.8190072
7	Two Rivers Magnet Middle School	41.76024109900004,	-72.65997968
8	Discovery Academy	41.73814668700004,	-72.67549714
9	Public Safety Academy	41.949482670000066,	-72.60192537
10	Academy of Aerospace and Engineering	41.75136059600004,	-72.68412374
11	Two Rivers Magnet High School	41.75498712900003,	-72.66346746
12	University of Hartford Magnet School	41.79337989800007,	-72.71630599
13	Connecticut River Academy	41.75004990200006,	-72.64279689
14	Academy of Aerospace and Engineering Elementary	41.643139388000066,	-72.66441061
15	Medical Professions and Teacher Preparation Academy	41.851007192000054,	-72.66673712
16	International Magnet School for Global Citizenship	41.80660243600005,	-72.59549214
17	Wintonbury Early Childhood Magnet School	41.837399066000046,	-72.74678679
18	Dr. Ramon E. Betances Early Reading Lab School	41.75934810500007,	-72.67311565
19	Breakthrough II Elementary School	41.80389722700005,	-72.7041756
20	Breakthrough Magnet School	41.74699910100003,	-72.7066482
21	Capital Community College Magnet Academy	41.768190048000065,	-72.6730179
22	Capital Preparatory Magnet Academy	41.77208081900005,	-72.67580623
23	Environmental Sciences Magnet School at Mary M Hooker	41.74221367400003,	-72.70122902
24	Great Path Academy Middle College High School at MCC	41.76444852100008,	-72.55462892
25	Hartford Prekindergarten Magnet	41.77614722100003,	-72.68063083
26	Journalism/Media Magnet (Grades 9, 10, & 11)	41.79759810000007,	-72.67002638
27	Montessori Magnet School at Annie Fisher	41.791478331000064,	-72.70780279
28	Montessori Magnet at Moylan School	41.74627325900008,	-72.69846835
29	Noah Webster Micro-Society Magnet	41.76888323700007,	-72.71223792
30	R.J. Kinsella Magnet School of Performing Arts	41.75505562400008,	-72.66501743
31	Sports and Medical Sciences Academy	41.75222001900005,	-72.66033495
32	STEM Magnet School at Annie-Fisher	41.791478331000064,	-72.70780279
33	STEM Magnet at Dwight (formerly Betances STEM)	41.73985956200005,	-72.67188386
34	University High School of Science and Engineering	41.79215044700004,	-72.70920621
35	Ana Grace Academy of the Arts Elementary School	41.804857921000064,	-72.83534284
36	Greater Hartford Academy of  the Arts High School - Full Time	41.75136059600004,	-72.68412374
37	GHAA [Half-Day]	41.75136059600004,	-72.68412374
38	Greater Hartford Academy of the Arts Magnet Middle	41.755486260000055,	-72.6640313
39	GHAMAS [Half-Day]	41.755486260000055,	-72.6640313
40	Glastonbury/East Hartford Magnet School	41.70795057400005,	-72.59242481
41	Metropolitan Learning Center for Global and International Studies	41.87140057200003,	-72.72465284
42	Montessori Magnet School (CREC)	41.74952279200005,	-72.68708775
43	Goodwin College Early Childhood Interdistrict Magnet School	41.74505404900003,	-72.63953009
44	Achievement First Hartford Academy Elementary School	41.78415	-72.697224
45	Achievement First Hartford Academy Middle School	41.78415	-72.697224
46	Achievement First Hartford High Academy	41.78415	-72.697224
47	Achievement First Summit Middle School	41.774444	-72.681602
48	Alfred E. Burr Elementary School	41.7448076	41.7448076
49	Asian Studies Academy at Bellizzi School	41.7400949	-72.6719264
50	Burns Latino Studies Academy	41.7616032	-72.6904571
51	Culinary Arts Academy	41.7998407	-72.7065095
52	Dr. Frank T. Simpson-Waverly	41.7949208	-72.6816782
53	Dr. Michael D. Fox School	41.742712	-72.6658685
54	E. B. Kennelly School	41.7349323	-72.6940218
55	Sarah J. Rawson Elementary School	41.7957218	-72.7004645
56	John C. Clark, Jr. Elementary & Middle School	41.7870529	-72.677399
57	L.W. Batchelder Elementary	41.733048	-72.7075522
